bookID,title,authors,average_rating,num_pages,ratings_count,text_reviews_count,publication_date,Year,publisher,Publisher trim,Publisher clean,Left function
5777,911,Noam Chomsky/Greg Ruggiero/Marili Margomenou/Miguel Mora/Natalie Levisalles/Il Manifesto/Hartford Courant/David Barsamian/Radio B92/Elise Fried/Peter Kreysler/Gionarle del Popolo/Michael Albert,3.73,140,3070,172,04/12/2001,2001,Hodder Children's Books,,,
31839,The Ruined Map,KÅbÅ Abe/E. Dale Saunders,3.55,304,1398,105,04/12/2001,2001,Oxford University Press,,,
25780,A Green Desire,Anton Myrer/Alastair Westgarth,3.73,576,152,9,04/12/2001,2001,Harper Perennial,,,
44533,Four Stupid Cupids (The Hamlet Chronicles  #4),Gregory Maguire/Elaine Clayton,3.52,224,111,11,04/12/2001,2001,HarperCollins,,,
7286,The Big War,Anton Myrer,3.85,512,98,9,04/12/2001,2001,Harper Perennial,,,
36399,The Woman in Black,Susan Hill/John Lawrence,3.71,138,31467,3061,01/12/2001,2001,Simon  Schuster,,,
33439,Animal Liberation,Peter Singer,4.25,352,5325,357,01/12/2001,2001,Seven Stories Press,,,
33868,The Mystery of the Brass-Bound Trunk (Nancy Drew Mystery Stories  #17),Carolyn Keene/Mildred Benson,3.89,228,4249,89,01/12/2001,2001,Vintage,,,
19474,The Road Back,Erich Maria Remarque,4.32,352,3146,99,01/12/2001,2001,University of Chicago Press,,,
32441,Beyond World's End (Bedlam's Bard  #4),Mercedes Lackey/Rosemary Edghill,3.93,416,2508,22,01/12/2001,2001,Focus,,,
6932,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,838,2415,397,01/12/2001,2001,Plexus Publishing Ltd,,,
6954,Hamlet,William Shakespeare/Stephen Orgel/A.R. Braunmuller,4.02,148,1658,125,01/12/2001,2001,Harry N. Abrams,,,
41805,The Village of Stepanchikovo,Fyodor Dostoyevsky/Ignat Avsey,3.87,224,1570,80,01/12/2001,2001,Ignatius Press,,,
30629,The Pen Is Mightier Than The Sword (The Amazing Days of Abby Hayes  #6),Anne Mazer/Monica Gesue,3.96,128,1072,20,01/12/2001,2001,Simon Publications,,,
941,Tolkien: Man and Myth: A Literary Life,Joseph Pearce,4.05,256,467,31,01/12/2001,2001,Ecco Press,,,
8858,The Sonnets,William Shakespeare/Stephen Orgel/John Hollander,4.25,164,349,19,01/12/2001,2001,Penguin Classics,Penguin Classics,Penguin Classics,Penguin
35815,Hemingway vs. Fitzgerald,Scott Donaldson,3.85,352,185,19,01/12/2001,2001,Penguin Books,Penguin Books,Penguin Books,Penguin
32417,Blink 182,Anne Hoppus,4.42,112,62,4,01/12/2001,2001,Penguin Books,Penguin Books,Penguin Books,Penguin
45462,The Theban Plays: Antigone  King Oidipous & Oidipous at Colonus (Focus Classical Library),Sophocles/Ruby Blondell,3.97,248,57,3,01/12/2001,2001,Penguin Book Limited,Penguin Book Limited,Penguin Book Limited,Penguin
41130,Antitrust Law,Richard A. Posner,4,304,33,1,01/12/2001,2001,Scholastic Paperbacks,,,
21182,A Fine Balance,Rohinton Mistry,4.36,603,112196,7546,30/11/2001,2001,Baen,,,
28942,Starship Titanic,Terry Jones/Marie-Catherine Caillava,3.6,189,8790,152,30/11/2001,2001,Applewood Books,,,
26839,The Giraffe and the Pelly and Me,Roald Dahl/Quentin Blake,3.82,32,17232,713,29/11/2001,2001,David R. Godine Publisher,,,
11269,Ship of Destiny (Liveship Traders  #3),Robin Hobb,4.22,789,46646,1014,27/11/2001,2001,Vintage,,,
17778,Adam's Fall (Mason Sisters  #2),Sandra Brown,3.74,208,3065,94,27/11/2001,2001,J'ai Lu,,,
24566,Texas Heat (Texas  #2),Fern Michaels,4.18,496,2025,41,27/11/2001,2001,Puffin,,,
1618,Undertaker of the Mind: John Monro and Mad-Doctoring in Eighteenth-Century England,Jonathan  Andrews/Andrew Scull,3.42,386,12,1,27/11/2001,2001,University of California Press,,,
1800,The Wedding Night,Jayne Ann Krentz,3.45,256,795,23,23/11/2001,2001,Spectra Books,,,
18835,The Rise of Theodore Roosevelt,Edmund Morris,4.23,780,36847,1461,20/11/2001,2001,Ballantine Books,,,
237,Chimera,John Barth,3.73,308,1775,86,20/11/2001,2001,Bantam,,,
29320,His Dark Materials Trilogy (Northern Lights; The Subtle Knife; The Amber Spyglass),Philip Pullman,4.26,1016,341,22,16/11/2001,2001,MIRA,,,
32516,Homepage Usability: 50 Websites Deconstructed,Jakob Nielsen/Marie Tahir,3.74,336,341,12,15/11/2001,2001,Random House Trade Paperbacks,,,
7668,The Bread Baker's Apprentice: Mastering the Art of Extraordinary Bread,Peter Reinhart/Ron Manville,4.28,320,8552,248,14/11/2001,2001,Mariner Books,,,
37674,How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,Nigella Lawson/Petrina Tinslay,3.97,374,251,18,14/11/2001,2001,Hippo/Scholastic,,,
17986,The Stories of Eva Luna,Isabel Allende,3.97,352,12839,375,13/11/2001,2001,New Riders Publishing,,,
1504,Control Freak (SVH Senior Year  #35),Francine Pascal,3.33,192,120,1,13/11/2001,2001,Hyperion Books,,,
35313,Introduction to Documentary,Bill Nichols,3.79,248,204,5,12/11/2001,2001,Ten Speed Press,,,
40700,A Short History of Modern Philosophy (Routledge Classics),Roger Scruton,3.8,328,348,23,11/11/2001,2001,Bantam,,,
9282,The Franco-Prussian War,Michael Eliot Howard,4.09,532,202,13,11/11/2001,2001,Scribner,,,
30362,The Christmas Shoes (Christmas Hope #1),Donna VanLiere,4.23,132,32701,967,09/11/2001,2001,Indiana University Press,,,
17057,Flow My Tears  the Policeman Said,Philip K. Dick,3.91,204,26767,1075,08/11/2001,2001,Routledge/Taylor & Francis Ltd.,,,
29083,The Weekenders: Travels in the Heart of Africa,W.F. Deedes/Sue Ryan/Alex Garland/Tony Hawks/Andrew O'Hagan/Irvine Welsh/Giles Foden/Victoria Glendinning,3.16,340,123,12,08/11/2001,2001,Routledge,,,
30334,The Universe in a Nutshell,Stephen Hawking,4.15,216,29607,645,06/11/2001,2001,St. Martin's Press,,,
12086,The Amazing Maurice and His Educated Rodents (Discworld  #28),Terry Pratchett,4.05,256,29309,952,06/11/2001,2001,Ebury Press,,,
22649,The Lord of the Rings: Official Movie Guide,Brian Sibley,4.39,120,6356,21,06/11/2001,2001,Gollancz,,,
33008,The Mermaids Singing,Lisa Carey,3.77,288,1859,231,06/11/2001,2001,Johns Hopkins University Press,,,
17550,The Complete Fiction of Nella Larsen: Passing  Quicksand  and the Stories,Nella Larsen/Charles Larson/Marita Golden,4.14,278,824,59,06/11/2001,2001,Anchor Books,,,
25045,ADHD in Adulthood: A Guide to Current Theory  Diagnosis  and Treatment,Margaret Weiss/Gabrielle Weiss/Lily Trokenberg Hechtman,3.4,376,5,0,06/11/2001,2001,Houghton Mifflin Harcourt,,,
20235,Hercule Poirot's Christmas: A BBC Radio 4 Full-Cast Dramatisation,Agatha Christie/Michael Bakewell/Peter Sallis/Cyril Luckham/Edward De Souza/Rachel Gurney/Nicky Henson/Deryck Guyler,3.94,2,52,8,05/11/2001,2001,Bantam,,,
7058,Complete Essays 4  1936-38,Aldous Huxley/Robert S. Baker/James Sexton,4.29,416,7,2,05/11/2001,2001,HarperCollins,,,
30294,Nabokov's Pale Fire: The Magic of Artistic Discovery,Brian Boyd,4.22,320,172,22,04/11/2001,2001,William Morrow Paperbacks,,,
8682,Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry,J.K. Rowling,4.4,240,11515,139,01/11/2001,2001,Ivan R. Dee,,,
3368,Nanny Ogg's Cookbook,Terry Pratchett/Stephen Briggs/Tina Hannan/Paul Kidby,4,176,5517,143,01/11/2001,2001,BBC Audiobooks,,,
19319,The Secret of Shambhala: In Search of the Eleventh Insight (Celestine Prophecy  #3),James Redfield,4,256,4181,131,01/11/2001,2001,Princeton University Press,,,
29412,King Henry VI  Part 3,William Shakespeare/John D. Cox/Eric Rasmussen,3.76,460,3138,186,01/11/2001,2001,Raintree,,,
32257,In Conquest Born (In Conquest Born  #1),C.S. Friedman,3.88,530,2467,132,01/11/2001,2001,Dundurn,,,
39926,Cybernation (Tom Clancy's Net Force  #6),Steve Perry/Tom Clancy/Steve Pieczenik,3.76,368,1789,19,01/11/2001,2001,Goldmann,,,
18427,Satan Burger,Carlton Mellick III,3.56,230,1691,129,01/11/2001,2001,University of Chicago Press,,,
7781,Gain,Richard Powers,3.77,355,710,54,01/11/2001,2001,Signet Classics,,,
4600,The Coming,Joe Haldeman,3.09,278,690,71,01/11/2001,2001,Aspect,,,
23928,Live Like a Jesus Freak: Spend Today as If It Were Your Last,D.C. Talk,4.06,184,591,29,01/11/2001,2001,Wildside Press,,,
14236,The Lure of the Basilisk (The Lords of DÃ»s  #1),Lawrence Watt-Evans,3.71,208,493,17,01/11/2001,2001,Bethany House Publishers,,,
35810,The Wild Swans,Peg Kerr,3.67,464,352,37,01/11/2001,2001,Ace,,,
41334,Paradise Lost and Paradise Regained,John Milton/Christopher Ricks/Susanne Woods,4.08,357,329,29,01/11/2001,2001,Vintage,,,
19083,The Collaborator: The Trial and Execution of Robert Brasillach,Alice Kaplan,3.9,308,77,14,01/11/2001,2001,Arthur A. Levine,,,
9657,Das Zauberer-Handbuch - Die Magische Welt der Joanne K. Rowling von A bis Z,Allan Zola Kronzek,4.04,304,39,1,01/11/2001,2001,Grand Central Publishing,,,
38717,The Fish Kisser,James  Hawkins,3.4,360,9,0,01/11/2001,2001,Corgi,,,
45574,Bill Gates: Computer Legend (Famous Lives),Sara Barton-Wood,5,48,0,0,01/11/2001,2001,DAW,,,
13130,The Great House of God,Max Lucado,4.25,240,1101,58,31/10/2001,2001,Berkley,,,
23591,Letters: Summer 1926,Boris Pasternak/Marina Tsvetaeva/Rainer Maria Rilke,4.26,380,179,16,31/10/2001,2001,Bloomsbury Arden Shakespeare,,,
7806,Diablo II Ultimate Strategy Guide,Bart G. Farkas,3.81,288,31,4,31/10/2001,2001,Eraserhead Press,,,
43562,The Custard Kid (Black Cats),Terry Deary,4.4,62,5,0,31/10/2001,2001,Editions du Rocher,,,
13965,Vengeance (Joe Kurtz  #1),Dan Simmons,3.68,243,1,0,31/10/2001,2001,A & C Black (Childrens books),,,
32578,Silent Night: The Remarkable Christmas Truce of 1914,Stanley Weintraub,3.6,256,4041,179,30/10/2001,2001,Vivendi,,,
22904,The Gangs of New York,Herbert Asbury/Jorge Luis Borges,3.6,384,2835,209,30/10/2001,2001,NYRB Classics,,,
